availability,category,num_reviews,price_excl_tax,price_incl_tax,product_type,star_rating,tax,title,url
19,Young Adult,0,17.46,17.46,Books,5,0.0,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html
19,Poetry,0,20.66,20.66,Books,4,0.0,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
19,Science Fiction,0,37.59,37.59,Books,1,0.0,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
19,Politics,0,51.33,51.33,Books,2,0.0,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
19,Music,0,57.25,57.25,Books,3,0.0,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
19,Poetry,0,23.88,23.88,Books,1,0.0,Olio,https://books.toscrape.com/catalogue/olio_984/index.html
19,Music,0,35.02,35.02,Books,5,0.0,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
19,Sequential Art,0,52.29,52.29,Books,5,0.0,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
19,Travel,0,45.17,45.17,Books,2,0.0,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
19,Default,0,13.99,13.99,Books,2,0.0,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
19,Default,0,22.6,22.6,Books,4,0.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
19,Poetry,0,52.15,52.15,Books,1,0.0,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
19,Default,0,17.93,17.93,Books,3,0.0,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
19,Business,0,33.34,33.34,Books,4,0.0,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
19,Young Adult,0,22.65,22.65,Books,1,0.0,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
20,History,0,54.23,54.23,Books,5,0.0,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
17,Poetry,0,33.63,33.63,Books,2,0.0,You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
18,Thriller,0,52.22,52.22,Books,4,0.0,Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
18,Mystery,0,19.63,19.63,Books,1,0.0,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
18,Default,0,18.02,18.02,Books,2,0.0,Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
18,Philosophy,0,15.94,15.94,Books,5,0.0,Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html
18,Default,0,33.29,33.29,Books,3,0.0,Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
18,Childrens,0,36.89,36.89,Books,1,0.0,The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
18,Thriller,0,23.82,23.82,Books,5,0.0,The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
18,Nonfiction,0,31.05,31.05,Books,3,0.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
18,Spirituality,0,17.66,17.66,Books,5,0.0,The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
18,Art,0,44.18,44.18,Books,4,0.0,Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
18,Nonfiction,0,40.3,40.3,Books,5,0.0,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
19,Default,0,53.13,53.13,Books,3,0.0,Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
19,Default,0,22.5,22.5,Books,3,0.0,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
19,Childrens,0,54.64,54.64,Books,3,0.0,Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
19,Romance,0,34.53,34.53,Books,5,0.0,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html
19,Romance,0,25.27,25.27,Books,5,0.0,Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
